country_code,country,hdi,gdp_per_capita,mean_years_schooling,education_expenditure_pct_gdp,health_expenditure_per_capita,government_effectiveness,gii,region,income_level
NZL,New Zealand,0.939,42965.2749754735,12.94468975,5.22557020187378,5138.33789063,1.34026157855988,0.082,East Asia & Pacific,High income
OMN,Oman,0.819,18792.4460565306,11.89274979,4.30123996734619,712.06097412,0.0215067788958549,0.267,Middle East & North Africa,High income
PAK,Pakistan,0.54,1642.28066974826,4.422319019,1.97300945756988,38.76602173,-0.624728679656982,0.522,Middle East & North Africa,Lower middle income
PAN,Panama,0.82,15956.0653932059,10.68696295,3.37781000137329,1572.93017578,-0.128100603818893,0.392,Latin America & Caribbean,High income
PER,Peru,0.762,6667.51695632036,10.01696229,3.83315992355347,445.10473633,-0.39837571978569,0.36,Latin America & Caribbean,Upper middle income
PHL,Philippines,0.71,3577.70136573244,8.971409559,3.57960089528426,182.93432617,0.063930444419384,0.388,East Asia & Pacific,Lower middle income
PLW,Palau,0.797,12820.3765209089,13.04790021,3.57620133415525,2077.734375,0.449695825576782,,East Asia & Pacific,High income
PNG,Papua New Guinea,0.568,2467.23488790877,4.933631146,0.643376920751815,81.11356354,-0.810510694980621,0.604,East Asia & Pacific,Lower middle income
POL,Poland,0.881,17303.64494323,13.1647501,4.31372976303101,1219.29125977,0.258881956338882,0.105,Europe & Central Asia,High income
PRT,Portugal,0.874,22042.8680283647,9.575940132,4.55159997940063,2600.56665039,1.00113356113434,0.076,Europe & Central Asia,High income
PRY,Paraguay,0.731,6218.19790694162,8.861840248,3.39619994163513,480.02862549,-0.614015102386475,0.429,Latin America & Caribbean,Upper middle income
PSE,"Palestine, State of",0.716,3099.9609010368,9.938480377,,350.63812256,-0.902029156684875,,Middle East & North Africa,Lower middle income
QAT,Qatar,0.875,64315.6355652952,10.1317219,,1781.50390625,1.13661742210388,0.212,Middle East & North Africa,High income
ROU,Romania,0.827,12076.3033811896,11.36019615,3.2788200378418,902.2677002,-0.0004623509012162,0.23,Europe & Central Asia,High income
RUS,Russian Federation,0.821,10119.0625,12.41152954,4.05402755323777,1082.82104492,-0.696263790130615,0.178,Europe & Central Asia,High income
RWA,Rwanda,0.548,948.413686948024,4.878310204,4.74623012542725,57.83102036,0.232074052095413,0.4,Sub-Saharan Africa,Low income
SAU,Saudi Arabia,0.875,26706.917926066,11.31052971,,1830.89074707,0.582258403301239,0.229,Middle East & North Africa,High income
SDN,Sudan,0.516,973.225280761719,3.87,,25.75139618,-1.68637764453888,0.548,Sub-Saharan Africa,Low income
SEN,Senegal,0.517,1433.1991875241,2.88736686,5.98753976821899,63.44842529,0.0397833846509457,0.505,Sub-Saharan Africa,Lower middle income
SGP,Singapore,0.949,68218.805333562,11.92488003,2.48891997337341,3902.14428711,2.14423561096191,0.036,East Asia & Pacific,High income
SLB,Solomon Islands,0.562,1788.61727922057,5.8796802,8.48737829731105,96.74864197,-0.67954033613205,,East Asia & Pacific,Lower middle income
SLE,Sierra Leone,0.458,1077.08884538507,3.519426358,4.91130018234253,41.31875229,-1.17013084888458,0.613,Sub-Saharan Africa,Low income
SLV,El Salvador,0.674,4355.96083888359,7.150929928,3.25634002685547,500.20321655,-0.321259051561356,0.369,Latin America & Caribbean,Upper middle income
SMR,San Marino,0.867,51277.3460993917,10.52074301,2.89753007888794,3874.98535156,1.77113807201385,,Europe & Central Asia,High income
SOM,Somalia,0.38,460.046226685196,1.900300026,7.21674775437e-06,16.31684875,-2.02740406990051,0.674,Sub-Saharan Africa,Low income
SRB,Serbia,0.805,7862.95387364846,11.5047611,3.08255004882812,843.57733154,0.0651759877800941,0.119,Europe & Central Asia,Upper middle income
STP,Sao Tome and Principe,0.613,1403.23356704678,5.915788918,5.19392101712613,139.02836609,-0.8350989818573,,Sub-Saharan Africa,Lower middle income
SUR,Suriname,0.69,7081.33357325783,8.388631804,3.43460841988051,344.74603271,-0.944707155227661,0.405,Latin America & Caribbean,Upper middle income
SVK,Slovakia,0.855,18964.8298400624,13.00719575,4.65508985519409,1642.39208984,0.378134667873383,0.184,Europe & Central Asia,High income
SVN,Slovenia,0.926,25275.715967757,12.88015724,5.28065013885498,2737.84936523,1.06853556632996,0.049,Europe & Central Asia,High income
SWE,Sweden,0.952,54304.1877501033,12.67372015,7.31909990310669,6022.39257813,1.5724048614502,0.023,Europe & Central Asia,High income
SWZ,Eswatini (Kingdom of),0.61,3695.64957179548,5.73,5.57274175738511,284.75802612,-0.781404197216034,0.491,Sub-Saharan Africa,Lower middle income
SYC,Seychelles,0.802,15869.6738782504,11.19995,3.65858904774836,707.34448242,0.661873877048492,,Sub-Saharan Africa,High income
SYR,Syrian Arab Republic,0.557,712.272278200037,5.736797587,,53.26486588,-1.75301361083984,0.487,Middle East & North Africa,Low income
TCD,Chad,0.394,862.60212817252,2.282753488,2.6016118897064,40.17007446,-1.42367351055145,0.671,Sub-Saharan Africa,Low income
TGO,Togo,0.547,861.508010803054,5.590314011,3.77811083266775,55.79545593,-0.645623385906219,0.578,Sub-Saharan Africa,Low income
THA,Thailand,0.803,6278.7855138276,8.834560711,2.61187022798634,369.97647095,0.127444162964821,0.31,East Asia & Pacific,Upper middle income
TJK,Tajikistan,0.679,1325.75545290849,11.28955089,5.39829770599001,78.61326599,-0.757130861282349,0.269,Europe & Central Asia,Lower middle income
TKM,Turkmenistan,0.744,7551.03650143157,11.14299353,3.58004999160767,579.15454102,-1.15899753570557,,Europe & Central Asia,Upper middle income
TLS,Timor-Leste,0.566,1579.71085276403,6.020059751,,174.91529846,-0.770140171051025,0.415,East Asia & Pacific,Lower middle income
TON,Tonga,0.739,4533.96790206106,10.88028609,5.31016278046634,382.79116821,-0.16662822663784,0.462,East Asia & Pacific,Upper middle income
TTO,Trinidad and Tobago,0.814,15712.230497272,11.73800258,2.67331004142761,1266.28820801,-0.0255433935672045,0.264,Latin America & Caribbean,High income
TUN,Tunisia,0.732,3986.54558325666,7.953393173,6.8049896073928,276.46380615,-0.262752622365952,0.237,Middle East & North Africa,Lower middle income
TUR,Türkiye,0.855,14273.5747654873,8.811284129,3.09572005271912,385.87997437,-0.199645325541496,0.259,Europe & Central Asia,Upper middle income
TUV,Tuvalu,0.653,4515.29701517492,10.64458626,13.7621912480198,1300.46679688,-0.313752740621567,,East Asia & Pacific,Upper middle income
TZA,Tanzania (United Republic of),0.532,1070.58532714844,5.639967963,3.2382450375764,35.93323135,-0.460365831851959,0.513,Sub-Saharan Africa,Lower middle income
UGA,Uganda,0.55,933.094056370423,6.235476362,2.56105027176925,44.47286224,-0.605068683624268,0.527,Sub-Saharan Africa,Low income
URY,Uruguay,0.83,18228.3558443761,9.058219782,4.5073299407959,1850.80737305,0.849587678909302,0.24,Latin America & Caribbean,High income
USA,United States,0.927,63886.1317069841,13.57549953,,12586.19628906,1.25549554824829,0.18,North America,High income
UZB,Uzbekistan,0.727,3576.71552716054,11.91114998,5.23477171022152,170.64073181,-0.329937309026718,0.242,Europe & Central Asia,Lower middle income
VCT,Saint Vincent and the Grenadines,0.772,8532.7381341339,10.99625387,7.07575034584772,437.94085693,0.318174481391907,,Latin America & Caribbean,Upper middle income
VEN,Venezuela (Bolivarian Republic of),0.699,1379.97778822986,9.628154421,,208.66654968,-1.68905186653137,0.521,Latin America & Caribbean,
VNM,Viet Nam,0.726,3617.66311465012,8.455348794,2.88738689372749,188.22650146,0.174635261297226,0.378,East Asia & Pacific,Lower middle income
VUT,Vanuatu,0.614,2740.27545530661,7.183209727,10.7033456499063,136.79508972,-0.538524687290192,,East Asia & Pacific,Lower middle income
WSM,Samoa,0.702,4095.15868286688,11.36735585,6.15978780645853,259.95404053,0.307863622903824,0.406,East Asia & Pacific,Upper middle income
ZAF,South Africa,0.717,5786.86505344736,11.60696983,6.15599012374878,570.48028564,-0.109027646481991,0.401,Sub-Saharan Africa,Upper middle income
ZMB,Zambia,0.569,1298.8480495593,7.284893177,3.65884092023983,75.40128326,-0.638017058372498,0.526,Sub-Saharan Africa,Lower middle income
ZWE,Zimbabwe,0.55,1369.19761495571,8.807762621,,68.90727997,-1.25122380256653,0.519,Sub-Saharan Africa,Lower middle income
