country_code,country,gdp_per_capita,education_expenditure_pct_gdp,health_expenditure_per_capita
CPV,Cabo Verde,3997.76763250653,4.7252554800722,297.08233643
CRI,Costa Rica,13686.1614090822,,978.84155273
CSS,Caribbean small states,15207.5837552377,2.67331004142761,915.955448715908
CUB,Cuba,7552.33152218842,8.44086351669284,
CUW,Curacao,16772.8147195764,6.08167033605813,
CYM,Cayman Islands,80029.0319676823,1.48894000053406,
CYP,Cyprus,31370.55078125,4.73588991165161,2748.6159668
CZE,Czechia,20627.348651011,4.30291986465454,2431.08496094
DEU,Germany,44817.1316331389,5.23916006088257,6226.14208984
DJI,Djibouti,2959.78673011268,,79.13184357
DMA,Dominica,8590.92209069816,6.04314243406571,542.53948975
DNK,Denmark,59108.7449374068,6.35586977005005,6451.19433594
DOM,Dominican Republic,8698.13592094395,3.61088872070271,469.34915161
DZA,Algeria,4544.46688060372,4.74924673000603,180.33454895
ECU,Ecuador,6107.49495006543,3.59897994995117,495.30380249
EGY,Egypt,4029.78295457978,,171.67852783
EMU,Euro area,38051.0445374525,4.95753502845764,4440.78663278001
ERI,Eritrea,,,27.0898056
ESP,Spain,28203.1093419474,4.58553981781006,2948.61474609
EST,Estonia,21023.2994937246,5.20733976364136,1998.74523926
ETH,Ethiopia,811.177729326201,3.73649512188829,27.06845474
FCS,Fragile and conflict affected situations,1421.76860683137,,72.8781507440048
FIN,Finland,46016.1492103929,6.37603998184204,4902.0390625
FJI,Fiji,5291.51693123572,3.93839539074194,217.15068054
FRA,France,38868.3303330557,5.32435989379883,4857.73388672
FRO,Faroe Islands,57775.0758629956,,
FSM,Micronesia (Federated States of),2923.25915160041,,468.53509521
GAB,Gabon,6527.48207900404,2.20773650357931,243.09941101
GBR,United Kingdom,48433.009835767,,5111.81738281
GEO,Georgia,5736.30449578597,3.75498008728027,546.22503662
GHA,Ghana,2067.20895910766,2.90963831638452,82.32108307
GIN,Guinea,987.502501465337,2.00722302981184,53.2922287
GMB,Gambia,710.686979216316,2.89168744551701,29.57811737
GNB,Guinea-Bissau,752.901123263165,,68.01049042
GNQ,Equatorial Guinea,5524.24312418579,,215.32841492
GRC,Greece,20552.3223279685,3.37547993659973,1768.11071777
GRD,Grenada,9406.19337643226,4.03767284869161,526.35113525
GRL,Greenland,49679.3365414895,,
GTM,Guatemala,4385.14891178047,3.20823001861572,384.06158447
GUM,Guam,34627.9862781837,,
GUY,Guyana,17365.3336428642,,452.23754883
HKG,"Hong Kong, China (SAR)",43281.6852291306,3.72866010665894,
HND,Honduras,2482.22384904714,4.48280030802056,244.90408325
HPC,Heavily indebted poor countries (HIPC),982.924394594556,3.0972642678305,50.2027951771848
HRV,Croatia,16618.1111874724,,1328.80371094
HTI,Haiti,1256.72143592448,1.02689812206798,52.28417587
HUN,Hungary,16487.7973935944,3.81258988380432,1228.00231934
IBD,IBRD only,6949.77744058703,3.59897994995117,447.260654903885
IDA,IDA total,1441.8927324741,3.06772823003204,60.2541339650288
IDB,IDA blend,2014.88221922079,2.72738253259215,74.7290098121785
IDN,Indonesia,4024.91225288391,0.863943349575907,127.44384766
IDX,IDA only,1134.36793858317,3.08249624893127,52.4741092390193
IMN,Isle of Man,86103.3379308107,,
IND,India,2098.2112447615,4.09865814174589,81.50888824
